Название практики,,,Курс,Сем. курса,Кафедра,+,Продолжительность (недель),,Студ.,Часов,,,
,,,,,,,,,,на студента,на студента в неделю,на подгруппу,на подгруппу в неделю
Вид практики: Учебная практика ,,,,,,,,,,,,,
,Ознакомительная практика,,1,2,,,2,,,,,,
,,,,,97,+,2,,0,0,1,0,0
,Ознакомительная практика,,2,2,,,2,,,,,,
,,,,,97,+,2,,0,0,0,0,0
Вид практики: Производственная практика ,,,,,,,,,,,,,
,Проектная практика,,3,2,,,4,,,,,,
,,,,,97,+,4,,0,0,1,0,0
,Преддипломная практика,,4,2,,,6,,,,,,
,,,,,97,+,6,,0,0,1,0,0
Итого по факту,,,,,,,14,,,,,,
Итого по плану,,,,,,,14,,,,,,
