Название практики,,,Курс,Сем. курса,Кафедра,+,Продолжительность (недель),,Студ.,Часов,,,
,,,,,,,,,,на студента,на студента в неделю,на подгруппу,на подгруппу в неделю
Вид практики: Учебная практика ,,,,,,,,,,,,,
,Ознакомительная практика,,1,2,,,2,,,,,,
,,,,,95,+,2,,0,0,1,0,0
,Ознакомительная практика,,2,2,,,2,,,,,,
,,,,,95,+,2,,0,0,1,0,0
Вид практики: Производственная практика ,,,,,,,,,,,,,
,Эксплуатационная практика,,3,2,,,2,,,,,,
,,,,,95,+,2,,0,0,1,0,0
,Преддипломная,,4,2,,,6,,,,,,
,,,,,95,+,6,,0,0,1,0,0
Итого по факту,,,,,,,12,,,,,,
Итого по плану,,,,,,,12,,,,,,
