Индекс,,,,Наименование,Компетенции,Требования к образованию
06,,,,"СВЯЗЬ, ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ",,
,06.001,,,ПРОГРАММИСТ,ПК-1; ПК-2; ПК-3; ПК-4; ПК-5,
,,C,,Интеграция программных модулей и компонент и верификация выпусков программного продукта,ПК-1; ПК-2,"Высшее образование
Повышение квалификации"
,,,C/02.5,Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта,ПК-1; ПК-2,
,,D,,Разработка требований и проектирование программного обеспечения,ПК-3; ПК-4; ПК-5,"Высшее образование
Повышение квалификации"
,,,D/02.6,Разработка технических спецификаций на программные компоненты и их взаимодействие,ПК-3; ПК-4,
,,,D/03.6,Проектирование программного обеспечения,ПК-5,
,06.004,,,СПЕЦИАЛИСТ ПО ТЕСТИРОВАНИЮ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ,ПК-6; ПК-7; ПК-8; ПК-9; ПК-10,
,,B,,"Разработка тестовых случаев, проведение тестирования и исследование результатов",ПК-6; ПК-7; ПК-8; ПК-9; ПК-10,Высшее образование - бакалавриат
,,,B/01.5,"Определение и описание тестовых случаев, включая разработку автотестов",ПК-6,
,,,B/02.5,Проведение тестирования по разработанным тестовым случаям,ПК-7,
,,,B/03.5,"Восстановление тестов после сбоев, повлекших за собой нарушение работы системы",ПК-8,
,,,B/04.5,Анализ результатов тестирования,ПК-9,
,,,B/06.5,Проверка исправленных дефектов в порядке их приоритета,ПК-10,
,06.022,,,СИСТЕМНЫЙ АНАЛИТИК,ПК-11; ПК-12; ПК-13; ПК-14; ПК-15; ПК-16; ПК-17; ПК-18,
,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности",ПК-11; ПК-12; ПК-13; ПК-14; ПК-15; ПК-16; ПК-17; ПК-18,Высшее образование - бакалавриат
,,,C/02.6,Анализ проблемной ситуации заинтересованных лиц,ПК-11,
,,,C/03.6,Разработка бизнес-требований к системе,ПК-12,
,,,C/04.6,Постановка целей создания системы,ПК-13,
,,,C/05.6,Разработка концепции системы,ПК-14,
,,,C/06.6,Разработка технического задания на систему,ПК-15,
,,,C/07.6,Организация оценки соответствия требованиям существующих систем и их аналогов,ПК-16,
,,,C/08.6,"Представление концепции, технического задания и изменений в них заинтересованным лицам",ПК-17,
,,,C/09.6,Организация согласования требований к системе,ПК-18,
