Индекс,,,,,Содержание
ПК-1,,,,,"Способен к постижению основ математических моделей реального объекта или процесса, готов применять моделирование для построения объектов и процессов, определения или предсказания их свойств."
,01.001,,,,"ПЕДАГОГ (ПЕДАГОГИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ В СФЕРЕ ДОШКОЛЬНОГО, НАЧАЛЬНОГО ОБЩЕГО, ОСНОВНОГО ОБЩЕГО, СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ) (ВОСПИТАТЕЛЬ, УЧИТЕЛЬ)"
,,B,,,Педагогическая деятельность по проектированию и реализации основных общеобразовательных программ
,,,B/04.6,,"Модуль ""Предметное обучение. Математика"""
,,,,ТД.2,"Формирование способности к постижению основ математических моделей реального объекта или процесса, готовности к применению моделирования для построения объектов и процессов, определения или предсказания их свойств"
ПК-2,,,,,Способен самостоятельно изучать новые разделы фундаментальных наук
,40.011,,,,СПЕЦИАЛИСТ ПО НАУЧНО-ИССЛЕДОВАТЕЛЬСКИМ И ОПЫТНО-КОНСТРУКТОРСКИМ РАЗРАБОТКАМ
,,A,,,Проведение научно-исследовательских и опытно-конструкторских разработок по отдельным разделам темы
,,,A/01.5,,Осуществление проведения работ по обработке и анализу научно-технической информации и результатов исследований
,,,,Зн.2,Методы анализа и обобщения отечественного и международного опыта в соответствующей области исследований
ПК-3,,,,,Способен применять математический аппарат для решения поставленных задач.
,01.001,,,,"ПЕДАГОГ (ПЕДАГОГИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ В СФЕРЕ ДОШКОЛЬНОГО, НАЧАЛЬНОГО ОБЩЕГО, ОСНОВНОГО ОБЩЕГО, СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ) (ВОСПИТАТЕЛЬ, УЧИТЕЛЬ)"
,,B,,,Педагогическая деятельность по проектированию и реализации основных общеобразовательных программ
,,,B/04.6,,"Модуль ""Предметное обучение. Математика"""
,,,,У.6,"Совместно с обучающимися проводить анализ учебных и жизненных ситуаций, в которых можно применить математический аппарат и математические инструменты (например, динамические таблицы), то же - для идеализированных (задачных) ситуаций, описанных текстом"
,40.011,,,,СПЕЦИАЛИСТ ПО НАУЧНО-ИССЛЕДОВАТЕЛЬСКИМ И ОПЫТНО-КОНСТРУКТОРСКИМ РАЗРАБОТКАМ
,,A,,,Проведение научно-исследовательских и опытно-конструкторских разработок по отдельным разделам темы
,,,A/01.5,,Осуществление проведения работ по обработке и анализу научно-технической информации и результатов исследований
,,,,ТД.5,Внедрение результатов исследований и разработок в соответствии с установленными полномочиями
ПК-4,,,,,"Способен проводить анализ результатов моделирования, принимать решения на основе полученных результатов."
,40.011,,,,СПЕЦИАЛИСТ ПО НАУЧНО-ИССЛЕДОВАТЕЛЬСКИМ И ОПЫТНО-КОНСТРУКТОРСКИМ РАЗРАБОТКАМ
,,A,,,Проведение научно-исследовательских и опытно-конструкторских разработок по отдельным разделам темы
,,,A/01.5,,Осуществление проведения работ по обработке и анализу научно-технической информации и результатов исследований
,,,,Зн.4,"Методы проведения экспериментов и наблюдений, обобщения и обработки информации"
