Название практики,,,Курс,Сем. курса,Кафедра,+,Продолжительность (недель),,Студ.,Часов,,,
,,,,,,,,,,на студента,на студента в неделю,на подгруппу,на подгруппу в неделю
Вид практики: Учебная практика ,,,,,,,,,,,,,
,Ознакомительная,,1,2,,,2,,,,,,
,,,,,95,+,2,,0,0,1,0,0
,Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы),,2,2,,,2,,,,,,
,,,,,95,+,2,,0,0,1,0,0
Вид практики: Производственная практика ,,,,,,,,,,,,,
,Научно - исследовательская работа,,3,2,,,4,,,,,,
,,,,,95,+,4,,0,0,1,0,0
,Преддипломная  практика,,4,2,,,6,,,,,,
,,,,,95,+,6,,0,0,1,0,0
Итого по факту,,,,,,,14,,,,,,
Итого по плану,,,,,,,14,,,,,,
