Индекс,,,,Содержание,Тип
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
УК-7,,,,Способен поддерживать должный уровень физической подготовленности для обеспечения полноценной социальной и профессиональной деятельности,УК
,УК-7.1,,,"Знает роль и значение физической культуры в жизни человека и общества; научно – практические основы физической культуры, а также систему профилактики вредных привычек и формирования здорового образа и стиля жизни",-
,,Б1.О.18,,Физическая культура и спорт,
,,Б1.О.19,,Прикладная физическая культура  и спорт,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-7.2,,,"Умеет применять на практике разнообразные средства физической культуры и спорта для сохранения и укрепления здоровья и психофизической подготовки, использовать средства и методы физического воспитания для профессионально – личностного развития, физического самосовершенствования, формирования здорового образа и стиля жизни",-
,,Б1.О.18,,Физическая культура и спорт,
,,Б1.О.19,,Прикладная физическая культура  и спорт,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-7.3,,,"Владеет навыками поддержания здоровья и физической подготовленности для обеспечения полноценной социальной и профессиональной
деятельности",-
,,Б1.О.18,,Физическая культура и спорт,
,,Б1.О.19,,Прикладная физическая культура  и спорт,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
УК-8,,,,"Способен создавать и поддерживать в повседневной жизни и в профессиональной деятельности безопасные условия жизнедеятельности для сохранения природной среды, обеспечения устойчивого развития общества, в том числе при угрозе и возникновении чрезвычайных ситуаций и военных конфликтов",УК
,УК-8.1,,,"Знает классификацию и источники чрезвычайных ситуаций природного и техногенного происхождения, причины, признаки и последствия опасностей, способы защиты от чрезвычайных ситуаций, принципы организации безопасности труда на предприятии, технические средства защиты людей в условиях чрезвычайной ситуации",-
,,Б1.О.04,,Безопасность жизнедеятельности,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-8.2,,,"Умеет поддерживать безопасные условия жизнедеятельности, выявлять признаки, причины и условия возникновения чрезвычайных ситуаций оценивать вероятность возникновения потенциальной опасности и принимать меры по ее предупреждению",-
,,Б1.О.04,,Безопасность жизнедеятельности,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-8.3,,,"Владеет методами прогнозирования возникновения опасных или чрезвычайных ситуаций, навыками по применению основных методов защиты в условиях чрезвычайных ситуаций",-
,,Б1.О.04,,Безопасность жизнедеятельности,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
ОПК-1,,,,"Способен применять естественнонаучные и общеинженерные знания, методы математического анализа и моделирования, теоретического и экспериментального исследования в профессиональной деятельности;",ОПК
,ОПК-1.1,,,"Знает основы математики, физики, вычислительной техники и программирования",-
,,Б1.О.10,,Высшая математика,
,,Б1.О.11,,Дискретная математика,
,,Б1.О.12,,Теория вероятностей и математическая статистика,
,,Б1.О.23,,Эконометрика,
,,Б2.О.02(У),,Технологическая (проектно-технологическая) практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-1.2,,,"Умеет решать стандартные профессиональные задачи с применением естественнонаучных и общеинженерных знаний, методов математического анализа и моделирования",-
,,Б1.О.10,,Высшая математика,
,,Б1.О.11,,Дискретная математика,
,,Б1.О.12,,Теория вероятностей и математическая статистика,
,,Б1.О.23,,Эконометрика,
,,Б2.О.02(У),,Технологическая (проектно-технологическая) практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-1.3,,,"Владеет навыками теоретического и экспериментального исследования
объектов профессиональной деятельности",-
,,Б1.О.10,,Высшая математика,
,,Б1.О.11,,Дискретная математика,
,,Б1.О.12,,Теория вероятностей и математическая статистика,
,,Б1.О.23,,Эконометрика,
,,Б2.О.02(У),,Технологическая (проектно-технологическая) практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
ОПК-2,,,,"Способен понимать принципы работы современных информационных технологий и программных средств, в том числе отечественного производства, и использовать их при решения задач профессиональной деятельности;",ОПК
,ОПК-2.1,,,"Знает способы использования современных информационных технологий и программных средств, в том числе отечественного производства, при решении задач профессиональной деятельности",-
,,Б1.О.05,,"Вычислительные системы, сети и телекоммуникации",
,,Б1.О.09,,Информационные системы и технологии,
,,Б1.О.17,,Операционные системы,
,,Б1.О.21,,Базы данных,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-2.2,,,"Умеет использовать современные информационные технологии и программные средства, в том числе отечественного производства, при решении задач профессиональной деятельности",-
,,Б1.О.05,,"Вычислительные системы, сети и телекоммуникации",
,,Б1.О.09,,Информационные системы и технологии,
,,Б1.О.17,,Операционные системы,
,,Б1.О.21,,Базы данных,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-2.3,,,"Владеет методами использования современных информационных технологий и программных средств, в том числе отечественного производства, при решении задач профессиональной деятельности",-
,,Б1.О.05,,"Вычислительные системы, сети и телекоммуникации",
,,Б1.О.09,,Информационные системы и технологии,
,,Б1.О.17,,Операционные системы,
,,Б1.О.21,,Базы данных,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
ОПК-3,,,,Способен решать стандартные задачи профессиональной деятельности на основе информационной и библиографической культуры с применением информационно-коммуникационных технологий и с учетом основных требований информационной безопасности;,ОПК
,ОПК-3.1,,,Знает способы решения стандартных задач профессиональной деятельности на основе информационной и библиографической культуры с применением информационно – коммуникационных технологий и с учетом основных требований информационной безопасности,-
,,Б1.О.08,,Введение в профессиональную деятельность,
,,Б1.О.14,,Информационная безопасность и защита информации,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-3.2,,,Умеет решать стандартные задачи профессиональной деятельности на основе информационной и библиографической культуры с применением информационно – коммуникационных технологий и с учетом основных требований информационной безопасности,-
,,Б1.О.08,,Введение в профессиональную деятельность,
,,Б1.О.14,,Информационная безопасность и защита информации,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-3.3,,,Владеет навыками решения стандартных задач профессиональной деятельности на основе информационной и библиографической культуры с применением информационно – коммуникационных технологий и с учетом основных требований информационной безопасности,-
,,Б1.О.08,,Введение в профессиональную деятельность,
,,Б1.О.14,,Информационная безопасность и защита информации,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
ОПК-4,,,,"Способен участвовать в разработке стандартов, норм и правил, а также технической документации, связанной с профессиональной деятельностью;",ОПК
,ОПК-4.1,,,"Знает методы разработки стандартов, норм и правил, а также технической документации, связанной с профессиональной деятельностью",-
,,Б1.О.08,,Введение в профессиональную деятельность,
,,Б1.О.16,,Проектирование информационных систем,
,,Б2.О.01(У),,Ознакомительная практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-4.2,,,"Умеет разрабатывать стандарты, нормы и правила, а также техническую документацию, связанную с профессиональной деятельностью",-
,,Б1.О.08,,Введение в профессиональную деятельность,
,,Б1.О.16,,Проектирование информационных систем,
,,Б2.О.01(У),,Ознакомительная практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-4.3,,,"Владеет навыками разработки стандартов, норм и правил, а также технической документации, связанной с профессиональной деятельностью",-
,,Б1.О.08,,Введение в профессиональную деятельность,
,,Б1.О.16,,Проектирование информационных систем,
,,Б2.О.01(У),,Ознакомительная практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
ОПК-5,,,,Способен инсталлировать программное и аппаратное обеспечение для информационных и автоматизированных систем;,ОПК
,ОПК-5.1,,,Знает методы инсталляции программного и аппаратного обеспечения для информационных и автоматизированных систем,-
,,Б1.О.05,,"Вычислительные системы, сети и телекоммуникации",
,,Б1.О.07,,Программирование,
,,Б1.О.17,,Операционные системы,
,,Б2.О.01(У),,Ознакомительная практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-5.2,,,Умеет инсталлировать программное и аппаратное обеспечение для информационных и автоматизированных систем,-
,,Б1.О.05,,"Вычислительные системы, сети и телекоммуникации",
,,Б1.О.07,,Программирование,
,,Б1.О.17,,Операционные системы,
,,Б2.О.01(У),,Ознакомительная практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-5.3,,,Владеет навыками инсталляции программного и аппаратного обеспечения для информационных и автоматизированных систем,-
,,Б1.О.05,,"Вычислительные системы, сети и телекоммуникации",
,,Б1.О.07,,Программирование,
,,Б1.О.17,,Операционные системы,
,,Б2.О.01(У),,Ознакомительная практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
ОПК-6,,,,Способен анализировать и разрабатывать организационно-технические и экономические процессы с применением методов системного анализа и математического моделирования;,ОПК
,ОПК-6.1,,,"Знает основы теории систем и системного анализа, дискретной математики, теории вероятностей и математической статистики, методов оптимизации и исследования операций, нечетких вычислений, математического и имитационного моделирования",-
,,Б1.О.06,,Системный анализ,
,,Б1.О.22,,Макроэкономика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-6.2,,,"Умеет применять методы теории систем и системного анализа, математического, статистического и имитационного моделирования для автоматизации задач принятия решений, анализа информационных потоков, расчета экономической эффективности и надежности информационных систем и технологий",-
,,Б1.О.06,,Системный анализ,
,,Б1.О.22,,Макроэкономика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-6.3,,,Владеет навыками проведения инженерных расчетов основных показателей результативности создания и применения информационных систем и технологий,-
,,Б1.О.06,,Системный анализ,
,,Б1.О.22,,Макроэкономика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
ОПК-7,,,,"Способен разрабатывать алгоритмы и программы, пригодные для практического применения;",ОПК
,ОПК-7.1,,,"Знает основные языки программирования и базы данных, операционные системы и оболочки, современные программные среды разработки информационных систем и технологий",-
,,Б1.О.07,,Программирование,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-7.2,,,"Умеет работать с языками программирования и базами данных, современными программными средами разработки информационных систем и технологий для автоматизации бизнес – процессов, решения прикладных задач различных классов, ведения баз данных и информационных хранилищ",-
,,Б1.О.07,,Программирование,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-7.3,,,"Владеет навыками программирования, отладки и тестирования прототипов программно – технических комплексов задач",-
,,Б1.О.07,,Программирование,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
ОПК-8,,,,Способен принимать участие в управлении проектами создания информационных систем на стадиях жизненного цикла;,ОПК
,ОПК-8.1,,,"Знает основные технологии создания и внедрения информационных систем, стандарты управления жизненным циклом информационной системы",-
,,Б1.О.16,,Проектирование информационных систем,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.01,,Психология визуального восприятия,
,ОПК-8.2,,,Умеет осуществлять организационное обеспечение выполнения работ на всех стадиях и в процессах жизненного цикла информационной системы,-
,,Б1.О.16,,Проектирование информационных систем,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.01,,Психология визуального восприятия,
,ОПК-8.3,,,Владеет навыками составления плановой и отчетной документации по управлению проектами создания информационных систем на стадиях жизненного цикла,-
,,Б1.О.16,,Проектирование информационных систем,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.01,,Психология визуального восприятия,
ОПК-9,,,,Способен принимать участие в реализации профессиональных коммуникаций с заинтересованными участниками проектной деятельности и в рамках проектных групп.,ОПК
,ОПК-9.1,,,"Знает инструменты и методы коммуникаций в проектах, каналы коммуникаций в проектах, модели коммуникаций в проектах; технологии межличностной и групповой коммуникации в деловом взаимодействии, основы конфликтологии, технологии подготовки и проведения презентаций",-
,,Б1.О.16,,Проектирование информационных систем,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-9.2,,,Умеет осуществлять профессиональную коммуникацию с заинтересованными участниками проектной деятельности и в рамках проектных групп,-
,,Б1.О.16,,Проектирование информационных систем,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,ОПК-9.3,,,"Владеет навыками проведения презентаций, переговоров, публичных
выступлений",-
,,Б1.О.16,,Проектирование информационных систем,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
УК-9,,,,Способен принимать обоснованные экономические решения в различных областях жизнедеятельности,УК
,УК-9.1,,,"Знает базовые принципы функционирования экономики и экономического развития, цели и формы участия государства в экономике, методы личного экономического и финансового планирования, основные финансовые инструменты используемые для управления личными финансами",-
