Индекс,,,,Содержание
ПК-1,,,,Способен организовывать работу по созданию и редактированию контента информационного ресурса
,06.015,,,СПЕЦИАЛИСТ ПО ИНФОРМАЦИОННЫМ СИСТЕМАМ
,,C,,"Выполнение работ и управление работами по созданию (модификации) и сопровождению ИС, автоматизирующих задачи организационного управления и бизнес-процессы"
,,,C/17.6,Разработка баз данных ИС
ПК-2,,,,Способен управлять потоками информации из различных источников
,06.015,,,СПЕЦИАЛИСТ ПО ИНФОРМАЦИОННЫМ СИСТЕМАМ
,,C,,"Выполнение работ и управление работами по созданию (модификации) и сопровождению ИС, автоматизирующих задачи организационного управления и бизнес-процессы"
,,,C/22.6,Создание пользовательской документации к ИС
,,,C/31.6,Управление доступом к данным
ПК-5,,,,Способен планировать коммуникацию с заказчиком в процессе создания и ввода в эксплуатацию информационных систем
,06.013,,,СПЕЦИАЛИСТ ПО ИНФОРМАЦИОННЫМ РЕСУРСАМ
,,C,,Управление (менеджмент) информационными ресурсами
,,,C/01.6,Организация работ по созданию и редактированию контента
ПК-6,,,,Способен управлять процессом взаимодействия заинтересованных сторон проекта
,06.013,,,СПЕЦИАЛИСТ ПО ИНФОРМАЦИОННЫМ РЕСУРСАМ
,,C,,Управление (менеджмент) информационными ресурсами
,,,C/02.6,Управление информацией из различных источников
ПК-7,,,,Готов к разработке и проведению мероприятий по командообразованию и развитию персонала
,06.013,,,СПЕЦИАЛИСТ ПО ИНФОРМАЦИОННЫМ РЕСУРСАМ
,,C,,Управление (менеджмент) информационными ресурсами
,,,C/05.6,Анализ информационных потребностей посетителей сайта
ПК-8,,,,Способен использовать современные технологии эффективной организации работы персонала
,06.013,,,СПЕЦИАЛИСТ ПО ИНФОРМАЦИОННЫМ РЕСУРСАМ
,,C,,Управление (менеджмент) информационными ресурсами
,,,C/07.6,Поддержка процессов модернизации и продвижения сайта
