,,,,,,,,,,
,,,Вид работы,Каф.,Код каф.,Сем.,Студ.,Часов на студ./гр.,Трудоемкость,
,,,,,,,,,,
,,,  Руководство (в рамках ГИА),,,,,,,
52,9,1,,404,,,,22,,
52,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Рецензирование,,,,,,,
53,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Нормоконтроль,,,,,,,
60,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Консультации ГИА,,,,,,,
55,-1,1,,,,,,,,
,,,,,,,,,,
,,,,Комиссия №1,,,,,,
,,,,Каф.,Код каф.,Сем.,Студ.,Часов на студ./гр.,Трудоемкость,
41,,,,,,,0,,,
,,,,,,,,,,
,,,  Председатель,,,,,,,
56,1,1,,404,,,,1,,
56,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Член комиссии,,,,,,,
57,2,1,1,404,,,,0.5,,
57,3,1,2,404,,,,0.5,,
57,4,1,3,404,,,,0.5,,
57,5,1,4,404,,,,0.5,,
57,6,1,5,404,,,,0.5,,
57,7,1,6,404,,,,0.5,,
57,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Секретарь,,,,,,,
58,8,1,,404,,,,0.5,,
58,-1,1,,,,,,,,
,,,,,,,,,,
51,,,  Примечания к комиссиям ГЭК,,,,,,,
