Индекс,,,,,Содержание
Тип задач проф. деятельности: ,,,,,проектно-технологический
,ПК-1,,,,Способен планировать и разрабатывать требования к системе
,,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,,C/01.6,Планирование разработки или восстановления требований к системе
,ПК-3,,,,Способен разрабатывать техническое задание на систему
,,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,,C/06.6,Разработка технического задания на систему
,ПК-4,,,,Способен формулировать задачи на разработку требований к подсистемам и контролировать качество их выполнения
,,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,,C/11.6,Постановка задачи на разработку требований к подсистемам и контроль их качества
,ПК-5,,,,Способен проводить и сопровождать приемочные испытания и вводить систему в эксплуатацию
,,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,,C/12.6,Сопровождение приемочных испытаний и ввода в эксплуатацию системы
,ПК-6,,,,Способен обрабатывать запросы на изменение требований к системе
,,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,,C/13.6,Обработка запросов на изменение требований к системе
Тип задач проф. деятельности: ,,,,,научно-исследовательский
,ПК-2,,,,"Способен анализировать проблемные ситуации, выявлять и классифицировать явления проблемных ситуаций"
,,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,,C/02.6,Анализ проблемной ситуации заинтересованных лиц
,ПК-7,,,,Способен оценивать и выбирать шаблоны проектирования для каждого слоя или компонента
,,06.003,,,АРХИТЕКТОР ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ
,,,E,,Оценка и выбор варианта архитектуры программного средства
,,,,E/06.5,Оценка и выбор шаблонов (стилей) проектирования для каждого слоя или компонента
,ПК-8,,,,Способен оценивать и выбирать технологии доступа к данным
,,06.003,,,АРХИТЕКТОР ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ
,,,E,,Оценка и выбор варианта архитектуры программного средства
,,,,E/17.5,Оценка и выбор технологии доступа к данным
