,,,,,,,,,,
,,,Вид работы,Каф.,Код каф.,Сем.,Студ.,Часов на студ./гр.,Трудоемкость,
,,,,,,,,,,
,,,  Руководство (в рамках ГИА),,,,,,,
52,1,1,,430,,,,22,,
52,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Рецензирование,,,,,,,
53,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Нормоконтроль,,,,,,,
60,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Консультации ГИА,,,,,,,
55,-1,1,,,,,,,,
,,,,,,,,,,
,,,,Комиссия №1,,,,,,
,,,,Каф.,Код каф.,Сем.,Студ.,Часов на студ./гр.,Трудоемкость,
41,,,,,,,0,,,
,,,,,,,,,,
,,,  Председатель,,,,,,,
56,2,1,,430,,,,1,,
56,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Член комиссии,,,,,,,
57,3,1,1,430,,,,0.5,,
57,4,1,2,430,,,,0.5,,
57,5,1,3,430,,,,0.5,,
57,6,1,4,430,,,,0.5,,
57,7,1,5,430,,,,0.5,,
57,8,1,6,430,,,,0.5,,
57,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Секретарь,,,,,,,
58,9,1,,430,,,,0.5,,
58,-1,1,,,,,,,,
,,,,,,,,,,
51,,,  Примечания к комиссиям ГЭК,,,,,,,
