,,,,Итого,,,,,,,,,,,,,,,,,,Курс 1,,,,,,,Курс 2,,,,,,,Курс 3,,,,,,,Курс 4,,,,,,,Курс 5,,,,,,,Курс 6,,,,,,,Курс 7,,,,,
,,,,Баз.%,Вар.%,ДВ(от Вар.)%,з.е.,,,,,,,Часов,,,,,,,,Всего,Всего,Сем. 1,,Сем. 2,,,Всего,Всего,Сем. 3,,Сем. 4,,,Всего,Всего,Сем. 5,,Сем. 6,,,Всего,Всего,Сем. 7,,Сем. 8,,,Всего,Всего,Сем. 9,,Сем. A,,,Всего,Всего,Сем. B,,Сем. C,,,Всего,Всего,Сем. D,,Сем. E,
,,,,,,,Мин.,Макс.,,,Факт,Факт,Переат.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Итого (с факультативами),12,,,,,189,960,,,244,244,,,,,,,,,,60,,27.5,,32.5,,,60,,29,,31,,,64,,29,,35,,,60,,29,,31,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Итого по ОП (без факультативов),11,,,,,189,720,,,240,240,,,,,,,,,,60,,27.5,,32.5,,,60,,29,,31,,,60,,29,,31,,,60,,29,,31,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б1,Дисциплины (модули),734523,,55%,45%,8.4%,160,240,,,210,210,,,,,,,,,,57,,27.5,,29.5,,,57,,29,,28,,,54,,29,,25,,,42,,29,,13,,,,,,,,,,,,,,,,,,,,,,
Б1.О,Обязательная часть,734524,,,,,,115,,,115,115,,,,,,,,,,57,,27.5,,29.5,,,57,,29,,28,,,1,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б1.В,"Часть, формируемая участниками образовательных отношений",734525,,,,,,95,,,95,95,,,,,,,,,,,,,,,,,,,,,,,,53,,28.5,,24.5,,,42,,29,,13,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б2,Практика,734526,,29%,71%,0%,20,240,,,21,21,,,,,,,,,,3,,,,3,,,3,,,,3,,,6,,,,6,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,
Б2.О,Обязательная часть,734527,,,,,,12,,,6,6,,,,,,,,,,3,,,,3,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б2.В,"Часть, формируемая участниками образовательных отношений",734528,,,,,,15,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б3,Государственная итоговая аттестация,734529,,,,,9,240,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ФТД,Факультативные дисциплины,734530,,,,,,240,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Учебная нагрузка (акад.час/нед),"ОП, факультативы (в период ТО)",,,,,,,,,55,,,,,,,,,,,-,,53.3,,55.4,,,-,,57.4,,53.8,,,-,,56.2,,57.3,,,-,,53.5,,51.7,,,-,,,,,,,-,,,,,,,-,,,,,
,,"ОП, факультативы (в период экз. сессий)",,,,,,,,,53.5,,,,,,,,,,,-,,54,,54,,,-,,54,,50.9,,,-,,54,,54,,,-,,54,,54,,,-,,,,,,,-,,,,,,,-,,,,,
,,в период гос. экзаменов,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Контактная работа в период ТО (акад.час/нед),ОП без элект. дисциплин по физ.к.,,,,,,,,,24.1,,,,,,,,,,,-,,20.9,,25.8,,,-,,24.7,,23.9,,,-,,26.8,,21,,,-,,25.8,,23.5,,,-,,,,,,,-,,,,,,,-,,,,,
,,элективные дисциплины по физ.к.,,,,,,,,,2.6,,,,,,,,,,,-,,2.8,,2.9,,,-,,3.9,,4,,,-,,2.7,,2.7,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,Контактная работа (акад.час/год),обязательная,,,,,,,,,391.5,,,,,,,,,,,-,,828,,,,,-,,846,,,,,-,,828,,,,,-,,630,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,необязательная,,,,,,,,,66.7,,,,,,,,,,,-,,100,,,,,-,,136,,,,,-,,164,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,Суммарная контактная работа (акад. час),Блок Б1,,,,,,,,,3460,,,,,,,,,,,-,,428,,500,,,-,,500,,482,,,-,,514,,406,,,-,,450,,180,,,-,,,,,,,-,,,,,,,-,,,,,
,,в том числе по элект. дисц. по ф.к.,,,,,,,,,328,,,,,,,,,,,-,,50,,50,,,-,,68,,68,,,-,,46,,46,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,Блок Б2,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,Блок Б3,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,Блок ФТД,,,,,,,,,72,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,72,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,Итого по всем блокам,,,,,,,,,3532,,,,,,,,,,,-,,428,,500,,,-,,500,,482,,,-,,514,,478,,,-,,450,,180,,,-,,,,,,,-,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Аудиторная нагрузка (акад.час/нед),ОП без элект. дисциплин по физ.к.,,,,,,,,,24.1,,,,,,,,,,,-,,20.9,,25.8,,,-,,24.7,,23.9,,,-,,26.8,,21,,,-,,25.8,,23.5,,,-,,,,,,,-,,,,,,,-,,,,,
,,элективные дисциплины по физ.к.,,,,,,,,,,,,,,,,,,,,-,,2.8,,2.9,,,-,,3.9,,4,,,-,,2.7,,2.7,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,Аудиторная нагрузка (акад.час/год),обязательная,,,,,,,,,391.5,,,,,,,,,,,-,,828,,,,,-,,846,,,,,-,,828,,,,,-,,630,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Обязательные формы контроля,  ЭКЗАМЕН (Эк),,,,,,,,,,,,,,,,,,,,6,,2,,4,,,7,,3,,4,,,6,,3,,3,,,5,,3,,2,,,,,,,,,,,,,,,,,,,,,,
,,  ЗАЧЕТ (За),,,,,,,,,,,,,,,,,,,,11,,6,,5,,,9,,5,,4,,,10,,6,,4,,,4,,3,,1,,,,,,,,,,,,,,,,,,,,,,
,,  ЗАЧЕТ С ОЦЕНКОЙ (ЗаО),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,  КУРСОВАЯ РАБОТА (КР),,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Процент ... занятий от аудиторных (%), лекционных,,,,,,,,,37.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, в интерактивной форме,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Объём обязательной части от общего объёма программы (%),,,,,,,,,,50.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Объём конт. работы от общего объёма времени на реализацию дисциплин (модулей) (%),,,,,,,,,,43.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Процент практической подготовки от общего объёма часов (%),Б1,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Б2,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Б3,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Итого по блокам,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
