,,,,,,,,,,
,,,Вид работы,Каф.,Код каф.,Сем.,Студ.,Часов на студ./гр.,Трудоемкость,
,,,,,,,,,,
,,,  Руководство (в рамках ГИА),,,,,,,
52,1,1,,389,,,,22,,
52,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Рецензирование,,,,,,,
53,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Нормоконтроль,,,,,,,
60,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Консультации ГИА,,,,,,,
55,-1,1,,,,,,,,
,,,,,,,,,,
,,,,Комиссия №1,,,,,,
,,,,Каф.,Код каф.,Сем.,Студ.,Часов на студ./гр.,Трудоемкость,
41,,,,,,,0,,,
,,,,,,,,,,
,,,  Председатель,,,,,,,
56,2,1,,389,,,,1,,
56,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Член комиссии,,,,,,,
57,4,1,1,389,,,,0.5,,
57,5,1,2,389,,,,0.5,,
57,6,1,3,389,,,,0.5,,
57,7,1,4,389,,,,0.5,,
57,8,1,5,389,,,,0.5,,
57,9,1,6,389,,,,0.5,,
57,-1,1,,,,,,,,
,,,,,,,,,,
,,,  Секретарь,,,,,,,
58,3,1,,389,,,,0.5,,
58,-1,1,,,,,,,,
,,,,,,,,,,
51,,,  Примечания к комиссиям ГЭК,,,,,,,
